Unnamed: 0,geometry,name,place_id,rating,types,vicinity,cords,reviewers
2393,"{'location': {'lat': 45.529775, 'lng': 9.233174}, 'viewport': {'northeast': {'lat': 45.53114897989273, 'lng': 9.234504079892723}, 'southwest': {'lat': 45.52844932010728, 'lng': 9.231804420107279}}}",Kebab-Pizza Mesopotamia Di Uylas Salman,ChIJx7EH72HHhkcRzUKDrcgkA0s,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Felice Cavallotti, 110, Sesto San Giovanni","45.529775,9.233174","['Francesco', 'Segrè', 'Omar', 'Ceruti', 'Mr', 'Hesher', 'Fede', 'Luci', 'Ionut', 'Artene']"
2394,"{'location': {'lat': 45.52886849999999, 'lng': 9.238375999999999}, 'viewport': {'northeast': {'lat': 45.53024952989271, 'lng': 9.239714179892722}, 'southwest': {'lat': 45.52754987010727, 'lng': 9.237014520107278}}}",Peperoncino,ChIJTQ86MmLHhkcR1BYAUK_U4Tk,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via XXIV Maggio, 18, Sesto San Giovanni","45.528868,9.238376","['Sabrina', 'Mangiacapra', 'Irene', 'Incalza', 'Luigi', 'Chinelli', 'Nunzio', 'Di', 'Bartolomeo', 'Rocco', 'Pocchia']"
2395,"{'location': {'lat': 45.536898, 'lng': 9.237586}, 'viewport': {'northeast': {'lat': 45.53824782989273, 'lng': 9.238935829892723}, 'southwest': {'lat': 45.53554817010729, 'lng': 9.23623617010728}}}",Pizza e Peccati,ChIJy_tAyZu4hkcRikM4gZDoCjM,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","via Giorgio Enrico Falck 6, Sesto San Giovanni","45.536898,9.237586","['mario', 'rossi', 'Niccolò', 'Ravanelli', 'Alba', 'Capu', 'Claudia', 'Saftic', 'Clelia', 'Giardina']"
2396,"{'location': {'lat': 45.53344, 'lng': 9.238436}, 'viewport': {'northeast': {'lat': 45.53475287989272, 'lng': 9.239849829892721}, 'southwest': {'lat': 45.53205322010728, 'lng': 9.237150170107277}}}",Pizzeria Gerry Di Russo Gerardo,ChIJ3xof9Jy4hkcRgxDt1uNNteY,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Felice Cavallotti, 321, Sesto San Giovanni","45.533440,9.238436","['Joaquín', 'González', 'Pacheco', 'Lorena', 'Cavallo', 'Lego', 'Story', 'Klaus000', 'Tyler', 'Davide', 'Molteni']"
2397,"{'location': {'lat': 45.5364843, 'lng': 9.2286886}, 'viewport': {'northeast': {'lat': 45.53783567989274, 'lng': 9.230008979892723}, 'southwest': {'lat': 45.53513602010729, 'lng': 9.22730932010728}}}",Vitantonio's Pizza,ChIJqcMePKK4hkcRnPOZ7F_ROvI,4.1,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Risorgimento, 216, Sesto San Giovanni","45.536484,9.228689","['Shirley', 'Skogang', 'Mark', 'Pope', 'Fernando', 'Lucktemberg', 'Mathias', 'Schouw', 'Medárd', 'Laposán']"
2398,"{'location': {'lat': 45.5267939, 'lng': 9.2281502}, 'viewport': {'northeast': {'lat': 45.52810177989272, 'lng': 9.22948782989272}, 'southwest': {'lat': 45.52540212010727, 'lng': 9.226788170107277}}}",Sara,ChIJRTiGumDHhkcRr0J4G1ZTXXo,4.0,"['restaurant', 'meal_delivery', 'point_of_interest', 'food', 'establishment']","Via Gorizia, 22, Sesto San Giovanni","45.526794,9.228150","['Toni', 'Tania', 'Mohamed', 'we', 'dada', 'sicchi97', 'Alberto', 'Di', 'Lorenzo', 'Awais', 'khan']"
2399,"{'location': {'lat': 45.5394097, 'lng': 9.222582400000002}, 'viewport': {'northeast': {'lat': 45.54075432989272, 'lng': 9.224044929892722}, 'southwest': {'lat': 45.53805467010727, 'lng': 9.221345270107278}}}",San Giovanni 2 S.A.S. Di San Giovanni S.A.S. Di Elias Karim & C.,ChIJ6xT-4aS4hkcRIPepbI8vyKI,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via S. Denis, 191, Sesto San Giovanni","45.539410,9.222582","['Paolo', 'Bongiorno', 'A.', 'F.', 'Antonio', 'Mallito', 'luciana', 'ardigò', 'Daniela', 'Alba']"
2400,"{'location': {'lat': 45.531222, 'lng': 9.221639999999999}, 'viewport': {'northeast': {'lat': 45.53259447989272, 'lng': 9.223008029892721}, 'southwest': {'lat': 45.52989482010728, 'lng': 9.220308370107277}}}",Mucca e Farina,ChIJD7NGj6e4hkcRgHAYe1ir3LA,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Giosuè Carducci, 221, Sesto San Giovanni","45.531222,9.221640","['Ola', 'Oginni', 'massimiliano', 'sturini', 'Fabio', 'dario', 'E.', 'O.', 'Capponi', 'Claudio']"
2401,"{'location': {'lat': 45.5381061, 'lng': 9.2382156}, 'viewport': {'northeast': {'lat': 45.53948517989271, 'lng': 9.239508279892721}, 'southwest': {'lat': 45.53678552010727, 'lng': 9.236808620107277}}}",Ristorante Pizzeria Al Pomo D'oro,ChIJD9iVOJq4hkcRpFTjO3bmLLw,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Acciaierie, 2, Sesto San Giovanni","45.538106,9.238216","['Pauline', 'Giacomuzzi', 'Marilen', 'Götsch', 'Giancarlo', 'Chinazzi', 'Patti', 'Lapattipeppa', 'Eleonora', 'Laurio']"
2402,"{'location': {'lat': 45.5338413, 'lng': 9.2308814}, 'viewport': {'northeast': {'lat': 45.53519112989272, 'lng': 9.232231229892722}, 'southwest': {'lat': 45.53249147010727, 'lng': 9.229531570107278}}}",Ristorante Pizzeria Rondò in Terrazza,ChIJY4AzbZ-4hkcR6jnC82C0RSw,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Sesto San Giovanni,"45.533841,9.230881","['Travis', 'Ward', 'Shu', 'L', 'Olga', 'Zorova', 'Subramanya', 'H', 'Bernice', 'Chen']"
